time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1063058512,0.6681,0.6718,-9.7150,-0.0219,-0.0677,0.0319,0.0000,0.0000,0.0000
1063068742,0.6761,0.6702,-9.7166,-0.0100,-0.0143,0.0070,0.0000,0.0000,0.0000
1063078426,0.6833,0.6710,-9.7142,-0.0324,-0.0262,0.0367,0.0000,0.0000,0.0000
1063088431,0.6801,0.6726,-9.7118,-0.0496,-0.0981,0.0901,0.0000,0.0000,0.0000
1063098434,0.6608,0.6686,-9.7182,-0.0214,-0.1038,0.0959,0.0000,0.0000,0.0000
1063108432,0.6656,0.6686,-9.7126,-0.0040,-0.0739,0.0074,0.0000,0.0000,0.0000
1063118596,0.6769,0.6726,-9.7174,0.0078,-0.0566,-0.0221,0.0000,0.0000,0.0000
1063128433,0.6737,0.6694,-9.7214,-0.0040,-0.0568,0.1259,0.0000,0.0000,0.0000
1063138672,0.6657,0.6670,-9.7182,-0.0218,-0.0499,0.1675,0.0000,0.0000,0.0000
1063148432,0.6681,0.6694,-9.7174,-0.0157,-0.0439,0.0900,0.0000,0.0000,0.0000
1063158502,0.6713,0.6742,-9.7198,-0.0152,-0.0684,0.0667,0.0000,0.0000,0.0000
1063168672,0.6665,0.6734,-9.7230,-0.0219,-0.0803,0.1022,0.0000,0.0000,0.0000
1063178509,0.6640,0.6726,-9.7198,-0.0382,-0.0745,0.0962,0.0000,0.0000,0.0000
1063188672,0.6665,0.6694,-9.7198,-0.0376,-0.0801,0.0610,0.0000,0.0000,0.0000
1063198508,0.6673,0.6750,-9.7182,-0.0093,-0.0500,0.0201,0.0000,0.0000,0.0000
1063208608,0.6793,0.6790,-9.7110,0.0019,-0.0075,0.0544,0.0000,0.0000,0.0000
1063218498,0.6841,0.6766,-9.7134,-0.0206,-0.0309,0.1794,0.0000,0.0000,0.0000
1063228503,0.6721,0.6670,-9.7102,-0.0143,-0.0918,0.2502,0.0000,0.0000,0.0000
1063238603,0.6633,0.6598,-9.7182,0.0082,-0.1513,0.1509,0.0000,0.0000,0.0000
1063248514,0.6608,0.6694,-9.7238,-0.0272,-0.1752,0.0203,0.0000,0.0000,0.0000
1063258710,0.6641,0.6726,-9.7166,-0.0152,-0.1162,0.0614,0.0000,0.0000,0.0000
1063268435,0.6697,0.6694,-9.7150,-0.0201,-0.0331,0.1558,0.0000,0.0000,0.0000
1063278609,0.6753,0.6710,-9.7094,-0.0317,-0.0558,0.1434,0.0000,0.0000,0.0000
1063288640,0.6689,0.6766,-9.7142,-0.0438,-0.1334,0.0197,0.0000,0.0000,0.0000
1063298504,0.6576,0.6734,-9.7134,-0.0048,-0.0803,0.0434,0.0000,0.0000,0.0000
1063308501,0.6665,0.6638,-9.7134,-0.0100,-0.0329,0.1325,0.0000,0.0000,0.0000
1063318673,0.6777,0.6710,-9.7158,-0.0324,-0.0442,0.1088,0.0000,0.0000,0.0000
1063328668,0.6705,0.6734,-9.7166,-0.0265,-0.0685,0.0963,0.0000,0.0000,0.0000
1063338603,0.6584,0.6662,-9.7198,-0.0204,-0.0808,0.0245,0.0000,0.0000,0.0000
1063348712,0.6657,0.6718,-9.7230,-0.0492,-0.0380,-0.0221,0.0000,0.0000,0.0000
1063358434,0.6713,0.6710,-9.7190,-0.0154,0.0104,0.0430,0.0000,0.0000,0.0000
1063368506,0.6729,0.6670,-9.7158,0.0133,-0.0326,0.0606,0.0000,0.0000,0.0000
1063378606,0.6745,0.6670,-9.7150,-0.0204,-0.0569,0.0480,0.0000,0.0000,0.0000
1063388608,0.6673,0.6702,-9.7182,-0.0319,-0.0568,0.1072,0.0000,0.0000,0.0000
1063398618,0.6689,0.6702,-9.7134,-0.0332,-0.0379,0.0776,0.0000,0.0000,0.0000
1063408610,0.6729,0.6702,-9.7126,-0.0386,-0.0014,0.0193,0.0000,0.0000,0.0000
1063418513,0.6745,0.6742,-9.7134,-0.0039,-0.0198,0.0313,0.0000,0.0000,0.0000
1063428437,0.6713,0.6678,-9.7158,-0.0268,-0.0677,0.1079,0.0000,0.0000,0.0000
1063438519,0.6697,0.6702,-9.7182,-0.0444,-0.0861,0.1794,0.0000,0.0000,0.0000
1063448512,0.6632,0.6726,-9.7206,-0.0212,-0.0745,0.1085,0.0000,0.0000,0.0000
1063458687,0.6664,0.6742,-9.7166,-0.0159,-0.0434,0.0076,0.0000,0.0000,0.0000
1063468606,0.6809,0.6678,-9.7118,-0.0157,-0.0681,0.0255,0.0000,0.0000,0.0000
1063478438,0.6753,0.6702,-9.7198,-0.0315,-0.1220,0.0785,0.0000,0.0000,0.0000
1063488511,0.6633,0.6734,-9.7150,-0.0322,-0.1221,0.1199,0.0000,0.0000,0.0000
1063498503,0.6649,0.6654,-9.7166,-0.0268,-0.0869,0.1976,0.0000,0.0000,0.0000
