time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1465696711,0.6359,0.6694,-9.7206,0.0304,-0.0508,0.0490,0.0000,0.0000,0.0000
1465706789,0.6408,0.6694,-9.7158,-0.0148,-0.0861,-0.0448,0.0000,0.0000,0.0000
1465716717,0.6376,0.6702,-9.7198,-0.0198,-0.0558,0.0371,0.0000,0.0000,0.0000
1465726811,0.6279,0.6694,-9.7174,-0.0150,-0.0193,0.0430,0.0000,0.0000,0.0000
1465736546,0.6424,0.6758,-9.7126,0.0078,0.0176,-0.0269,0.0000,0.0000,0.0000
1465746623,0.6528,0.6782,-9.7182,0.0251,-0.0256,0.0900,0.0000,0.0000,0.0000
1465756713,0.6432,0.6726,-9.7158,-0.0201,-0.0859,0.1911,0.0000,0.0000,0.0000
1465766621,0.6335,0.6702,-9.7134,-0.0490,-0.0745,0.2097,0.0000,0.0000,0.0000
1465776714,0.6416,0.6662,-9.7158,-0.0482,-0.0747,0.1497,0.0000,0.0000,0.0000
1465786823,0.6391,0.6726,-9.7254,-0.0199,-0.0742,0.0363,0.0000,0.0000,0.0000
1465796547,0.6343,0.6758,-9.7166,0.0138,-0.0264,0.0072,0.0000,0.0000,0.0000
1465806621,0.6408,0.6718,-9.7126,-0.0103,-0.0623,0.0301,0.0000,0.0000,0.0000
1465816553,0.6416,0.6726,-9.7182,-0.0273,-0.0859,0.0598,0.0000,0.0000,0.0000
1465826730,0.6343,0.6694,-9.7174,-0.0267,-0.0503,0.1139,0.0000,0.0000,0.0000
1465836723,0.6351,0.6670,-9.7230,-0.0154,-0.0621,0.0903,0.0000,0.0000,0.0000
1465846547,0.6400,0.6718,-9.7198,-0.0209,-0.0861,0.0494,0.0000,0.0000,0.0000
1465856717,0.6295,0.6766,-9.7206,-0.0263,-0.0567,0.0721,0.0000,0.0000,0.0000
1465866547,0.6319,0.6726,-9.7166,0.0083,-0.0022,0.1734,0.0000,0.0000,0.0000
1465876785,0.6456,0.6678,-9.7158,-0.0093,0.0050,0.1676,0.0000,0.0000,0.0000
1465886551,0.6335,0.6742,-9.7230,-0.0271,0.0105,0.0542,0.0000,0.0000,0.0000
1465896621,0.6311,0.6702,-9.7246,0.0015,0.0346,0.0016,0.0000,0.0000,0.0000
1465906721,0.6496,0.6670,-9.7182,-0.0159,0.0478,0.1079,0.0000,0.0000,0.0000
1465916627,0.6576,0.6686,-9.7174,-0.0382,-0.0256,0.1672,0.0000,0.0000,0.0000
1465926753,0.6424,0.6726,-9.7238,-0.0204,-0.1456,0.0780,0.0000,0.0000,0.0000
1465936618,0.6191,0.6710,-9.7246,0.0188,-0.1689,0.0084,0.0000,0.0000,0.0000
1465946714,0.6183,0.6686,-9.7222,-0.0094,-0.0504,0.0725,0.0000,0.0000,0.0000
1465956626,0.6416,0.6726,-9.7206,-0.0267,0.0596,0.1554,0.0000,0.0000,0.0000
1465966556,0.6568,0.6750,-9.7198,-0.0217,0.0414,0.1262,0.0000,0.0000,0.0000
1465976829,0.6416,0.6726,-9.7206,-0.0103,-0.0744,0.1321,0.0000,0.0000,0.0000
1465986551,0.6247,0.6622,-9.7166,-0.0213,-0.0923,0.2267,0.0000,0.0000,0.0000
1465996729,0.6327,0.6662,-9.7158,-0.0281,-0.0140,0.2156,0.0000,0.0000,0.0000
1466006719,0.6440,0.6734,-9.7190,-0.0163,0.0225,0.1259,0.0000,0.0000,0.0000
1466016620,0.6303,0.6694,-9.7166,-0.0149,-0.0012,0.0725,0.0000,0.0000,0.0000
1466026550,0.6359,0.6678,-9.7166,-0.0314,-0.0011,0.0721,0.0000,0.0000,0.0000
1466036719,0.6448,0.6798,-9.7238,-0.0319,0.0235,0.1735,0.0000,0.0000,0.0000
1466046758,0.6359,0.6766,-9.7206,-0.0333,0.0652,0.2329,0.0000,0.0000,0.0000
1466056547,0.6424,0.6590,-9.7094,0.0061,0.0400,0.1259,0.0000,0.0000,0.0000
1466066723,0.6504,0.6646,-9.7214,0.0010,-0.0384,-0.0161,0.0000,0.0000,0.0000
1466076551,0.6488,0.6862,-9.7190,-0.0319,-0.0195,0.0373,0.0000,0.0000,0.0000
1466086624,0.6424,0.6798,-9.7134,-0.0271,0.0036,0.2839,0.0000,0.0000,0.0000
1466096757,0.6351,0.6638,-9.7230,-0.0331,-0.0142,0.2895,0.0000,0.0000,0.0000
1466106631,0.6392,0.6710,-9.7190,-0.0617,-0.0798,0.0080,0.0000,0.0000,0.0000
1466116723,0.6400,0.6718,-9.7214,-0.0330,-0.1274,-0.1196,0.0000,0.0000,0.0000
1466126628,0.6392,0.6622,-9.7222,0.0011,-0.0561,0.0187,0.0000,0.0000,0.0000
1466136552,0.6384,0.6702,-9.7158,-0.0213,0.0052,0.1501,0.0000,0.0000,0.0000
1466146625,0.6464,0.6766,-9.7166,-0.0206,-0.0007,0.1977,0.0000,0.0000,0.0000
1466156554,0.6408,0.6670,-9.7174,-0.0090,-0.0436,0.1438,0.0000,0.0000,0.0000
1466166837,0.6375,0.6662,-9.7150,-0.0325,-0.0801,0.0486,0.0000,0.0000,0.0000
1466176561,0.6384,0.6710,-9.7206,-0.0267,-0.0685,0.1084,0.0000,0.0000,0.0000
1466186798,0.6384,0.6742,-9.7182,-0.0206,-0.0202,0.1922,0.0000,0.0000,0.0000
1466196553,0.6432,0.6694,-9.7086,-0.0204,-0.0505,0.2268,0.0000,0.0000,0.0000
