time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
4212191976,-0.1573,0.6734,-9.7302,-0.0040,-0.0558,0.0069,0.0000,0.0000,0.0000
4212201902,-0.1541,0.6726,-9.7309,-0.0100,-0.0865,0.0709,0.0000,0.0000,0.0000
4212212148,-0.1758,0.6686,-9.7341,-0.0154,-0.1165,0.0900,0.0000,0.0000,0.0000
4212221899,-0.1806,0.6734,-9.7254,-0.0039,-0.0510,0.0907,0.0000,0.0000,0.0000
4212232184,-0.1685,0.6646,-9.7333,0.0025,-0.0386,0.1146,0.0000,0.0000,0.0000
4212241905,-0.1589,0.6670,-9.7397,-0.0084,-0.0505,0.0554,0.0000,0.0000,0.0000
4212252149,-0.1718,0.6702,-9.7302,-0.0085,-0.0923,0.0249,0.0000,0.0000,0.0000
4212261904,-0.1774,0.6670,-9.7333,-0.0202,-0.0684,0.0251,0.0000,0.0000,0.0000
4212271979,-0.1613,0.6638,-9.7333,-0.0143,-0.0133,0.0486,0.0000,0.0000,0.0000
4212282079,-0.1573,0.6662,-9.7325,-0.0264,-0.0257,0.0959,0.0000,0.0000,0.0000
4212291911,-0.1597,0.6670,-9.7317,-0.0499,-0.0866,0.0785,0.0000,0.0000,0.0000
4212302083,-0.1613,0.6654,-9.7349,-0.0436,-0.1337,0.0078,0.0000,0.0000,0.0000
4212311907,-0.1678,0.6686,-9.7357,-0.0379,-0.0980,0.0253,0.0000,0.0000,0.0000
4212322077,-0.1686,0.6702,-9.7333,-0.0268,-0.0439,0.0538,0.0000,0.0000,0.0000
4212332073,-0.1597,0.6670,-9.7397,-0.0209,-0.0329,0.0772,0.0000,0.0000,0.0000
4212341978,-0.1670,0.6606,-9.7341,-0.0095,-0.0143,0.1742,0.0000,0.0000,0.0000
4212352074,-0.1678,0.6630,-9.7262,-0.0152,-0.0624,0.0851,0.0000,0.0000,0.0000
4212361984,-0.1549,0.6718,-9.7341,-0.0254,-0.0979,0.0436,0.0000,0.0000,0.0000
4212372076,-0.1589,0.6678,-9.7325,-0.0311,-0.1335,0.1200,0.0000,0.0000,0.0000
4212382188,-0.1670,0.6694,-9.7301,-0.0387,-0.2046,0.0659,0.0000,0.0000,0.0000
4212391910,-0.1678,0.6774,-9.7349,-0.0345,-0.1694,0.0721,0.0000,0.0000,0.0000
4212401980,-0.1653,0.6718,-9.7326,-0.0217,-0.1156,0.1255,0.0000,0.0000,0.0000
4212412077,-0.1637,0.6646,-9.7341,-0.0325,-0.1097,0.0783,0.0000,0.0000,0.0000
4212421985,-0.1629,0.6654,-9.7357,-0.0317,-0.0924,0.1328,0.0000,0.0000,0.0000
4212431911,-0.1653,0.6670,-9.7309,-0.0261,-0.1282,0.1146,0.0000,0.0000,0.0000
4212442189,-0.1758,0.6694,-9.7349,-0.0390,-0.1515,0.0606,0.0000,0.0000,0.0000
4212452082,-0.1758,0.6678,-9.7302,-0.0273,-0.0622,0.0959,0.0000,0.0000,0.0000
4212461982,-0.1638,0.6710,-9.7373,-0.0206,-0.0312,0.0663,0.0000,0.0000,0.0000
4212471991,-0.1557,0.6718,-9.7381,-0.0263,-0.0251,0.0434,0.0000,0.0000,0.0000
4212481910,-0.1565,0.6710,-9.7302,-0.0148,-0.0622,0.1021,0.0000,0.0000,0.0000
4212491909,-0.1686,0.6678,-9.7365,-0.0265,-0.1279,0.1672,0.0000,0.0000,0.0000
4212502083,-0.1814,0.6662,-9.7381,-0.0390,-0.0740,0.1196,0.0000,0.0000,0.0000
4212512083,-0.1750,0.6702,-9.7341,-0.0328,0.0240,0.1201,0.0000,0.0000,0.0000
4212521913,-0.1557,0.6678,-9.7349,-0.0328,0.0346,0.0967,0.0000,0.0000,0.0000
4212531978,-0.1525,0.6670,-9.7357,-0.0322,-0.0146,0.0486,0.0000,0.0000,0.0000
4212541901,-0.1646,0.6734,-9.7333,-0.0314,-0.0748,0.0721,0.0000,0.0000,0.0000
4212552146,-0.1726,0.6694,-9.7389,-0.0258,-0.0569,0.1204,0.0000,0.0000,0.0000
4212562081,-0.1710,0.6638,-9.7357,-0.0213,-0.0259,0.0436,0.0000,0.0000,0.0000
4212571983,-0.1710,0.6734,-9.7365,-0.0495,-0.0320,-0.0217,0.0000,0.0000,0.0000
4212582082,-0.1766,0.6726,-9.7333,-0.0157,0.0168,0.1072,0.0000,0.0000,0.0000
4212591985,-0.1694,0.6606,-9.7294,-0.0094,0.0649,0.1376,0.0000,0.0000,0.0000
4212602080,-0.1581,0.6670,-9.7381,-0.0317,-0.0271,-0.0332,0.0000,0.0000,0.0000
4212611976,-0.1613,0.6766,-9.7373,-0.0376,-0.0448,-0.0505,0.0000,0.0000,0.0000
4212621912,-0.1630,0.6638,-9.7246,-0.0034,-0.0074,0.1559,0.0000,0.0000,0.0000
4212632190,-0.1622,0.6582,-9.7326,-0.0093,-0.0193,0.2444,0.0000,0.0000,0.0000
4212641910,-0.1726,0.6646,-9.7342,-0.0149,-0.0617,0.1083,0.0000,0.0000,0.0000
4212652158,-0.1734,0.6702,-9.7334,0.0083,-0.0448,-0.0034,0.0000,0.0000,0.0000
4212662079,-0.1565,0.6670,-9.7381,-0.0036,0.0106,0.0789,0.0000,0.0000,0.0000
4212672083,-0.1493,0.6662,-9.7310,-0.0203,-0.0253,0.1558,0.0000,0.0000,0.0000
4212681919,-0.1654,0.6662,-9.7317,-0.0262,-0.1161,0.0837,0.0000,0.0000,0.0000
4212692085,-0.1822,0.6638,-9.7365,-0.0322,-0.1101,0.0486,0.0000,0.0000,0.0000
4212702082,-0.1718,0.6718,-9.7341,-0.0206,-0.0561,0.0546,0.0000,0.0000,0.0000
4212711915,-0.1565,0.6742,-9.7373,-0.0202,-0.0259,0.1018,0.0000,0.0000,0.0000
4212722224,-0.1581,0.6694,-9.7389,-0.0200,-0.0564,0.1192,0.0000,0.0000,0.0000
4212731919,-0.1654,0.6718,-9.7310,-0.0270,-0.0919,0.0490,0.0000,0.0000,0.0000
4212741985,-0.1654,0.6774,-9.7341,-0.0278,-0.0743,0.0725,0.0000,0.0000,0.0000
4212752084,-0.1629,0.6670,-9.7317,-0.0159,-0.0862,0.1610,0.0000,0.0000,0.0000
4212761986,-0.1726,0.6630,-9.7333,-0.0035,-0.0983,0.1313,0.0000,0.0000,0.0000
4212772124,-0.1750,0.6654,-9.7309,-0.0150,-0.1043,0.0658,0.0000,0.0000,0.0000
