time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
4150230828,-0.2255,0.6830,-9.7286,-0.0387,-0.0378,0.1262,0.0000,0.0000,0.0000
4150240733,-0.2151,0.6798,-9.7302,-0.0213,-0.0189,0.0618,0.0000,0.0000,0.0000
4150250824,-0.2030,0.6894,-9.7318,0.0136,-0.0253,0.0321,0.0000,0.0000,0.0000
4150260896,-0.2103,0.6862,-9.7310,-0.0035,-0.0978,0.1262,0.0000,0.0000,0.0000
4150270650,-0.2143,0.6830,-9.7302,-0.0374,-0.1273,0.1255,0.0000,0.0000,0.0000
4150280735,-0.2247,0.6782,-9.7350,-0.0381,-0.1155,0.0365,0.0000,0.0000,0.0000
4150290827,-0.2295,0.6806,-9.7294,-0.0556,-0.0505,-0.0683,0.0000,0.0000,0.0000
4150300921,-0.2143,0.6838,-9.7262,-0.0433,-0.0384,-0.0450,0.0000,0.0000,0.0000
4150310643,-0.2071,0.6822,-9.7325,-0.0206,-0.0567,0.0658,0.0000,0.0000,0.0000
4150320829,-0.2151,0.6822,-9.7262,-0.0260,-0.0982,0.0776,0.0000,0.0000,0.0000
4150330660,-0.2279,0.6854,-9.7350,-0.0490,-0.1638,0.0064,0.0000,0.0000,0.0000
4150340735,-0.2263,0.6862,-9.7381,-0.0267,-0.0926,0.0297,0.0000,0.0000,0.0000
4150350962,-0.2215,0.6774,-9.7278,-0.0157,-0.0016,0.1131,0.0000,0.0000,0.0000
4150360740,-0.2111,0.6742,-9.7318,-0.0447,-0.0434,0.0781,0.0000,0.0000,0.0000
4150370900,-0.2039,0.6870,-9.7326,-0.0610,-0.1157,0.0014,0.0000,0.0000,0.0000
4150380829,-0.2183,0.6902,-9.7334,-0.0376,-0.1571,0.0191,0.0000,0.0000,0.0000
4150390725,-0.2303,0.6734,-9.7294,-0.0222,-0.0861,0.0785,0.0000,0.0000,0.0000
4150400662,-0.2223,0.6774,-9.7326,-0.0282,-0.0448,0.0126,0.0000,0.0000,0.0000
4150410725,-0.2055,0.6950,-9.7334,-0.0328,-0.0683,0.0120,0.0000,0.0000,0.0000
