time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1346514148,0.0875,0.6678,-9.7341,-0.0384,0.0045,-0.0213,0.0000,0.0000,0.0000
1346524222,0.0834,0.6758,-9.7254,-0.0322,-0.0801,0.0305,0.0000,0.0000,0.0000
1346534146,0.0762,0.6854,-9.7349,-0.0379,-0.1219,0.1201,0.0000,0.0000,0.0000
1346544425,0.0690,0.6806,-9.7373,-0.0153,-0.1399,0.1087,0.0000,0.0000,0.0000
1346554144,0.0634,0.6598,-9.7302,0.0073,-0.1219,0.0972,0.0000,0.0000,0.0000
1346564326,0.0746,0.6566,-9.7317,-0.0267,-0.0563,0.1269,0.0000,0.0000,0.0000
1346574147,0.0794,0.6662,-9.7341,-0.0544,-0.0498,0.0904,0.0000,0.0000,0.0000
1346584147,0.0730,0.6726,-9.7310,-0.0490,-0.1093,0.0369,0.0000,0.0000,0.0000
1346594145,0.0682,0.6806,-9.7389,-0.0150,-0.1459,0.0662,0.0000,0.0000,0.0000
1346604147,0.0650,0.6774,-9.7341,-0.0046,-0.0989,0.1188,0.0000,0.0000,0.0000
1346614416,0.0690,0.6678,-9.7318,-0.0157,-0.0750,0.1020,0.0000,0.0000,0.0000
1346624142,0.0754,0.6606,-9.7334,-0.0029,-0.0746,0.1208,0.0000,0.0000,0.0000
1346634315,0.0714,0.6574,-9.7357,-0.0152,-0.1042,0.0964,0.0000,0.0000,0.0000
1346644221,0.0714,0.6710,-9.7334,-0.0393,-0.1338,-0.0155,0.0000,0.0000,0.0000
1346654219,0.0762,0.6862,-9.7325,-0.0213,-0.1459,-0.0032,0.0000,0.0000,0.0000
1346664420,0.0802,0.6814,-9.7365,-0.0148,-0.1636,0.0847,0.0000,0.0000,0.0000
1346674219,0.0698,0.6702,-9.7373,-0.0093,-0.1399,0.1262,0.0000,0.0000,0.0000
1346684319,0.0666,0.6702,-9.7373,-0.0093,-0.1045,0.1563,0.0000,0.0000,0.0000
1346694328,0.0626,0.6638,-9.7397,-0.0382,-0.0621,0.1204,0.0000,0.0000,0.0000
1346704219,0.0618,0.6694,-9.7349,-0.0493,-0.0189,0.0139,0.0000,0.0000,0.0000
1346714380,0.0690,0.6790,-9.7365,-0.0211,-0.0315,-0.0564,0.0000,0.0000,0.0000
1346724381,0.0883,0.6774,-9.7341,-0.0204,-0.0739,-0.0450,0.0000,0.0000,0.0000
1346734223,0.0714,0.6694,-9.7381,-0.0374,-0.0862,0.0897,0.0000,0.0000,0.0000
1346744217,0.0594,0.6646,-9.7302,-0.0206,-0.0689,0.1915,0.0000,0.0000,0.0000
1346754364,0.0650,0.6606,-9.7389,-0.0149,-0.0621,0.0843,0.0000,0.0000,0.0000
1346764309,0.0698,0.6718,-9.7334,-0.0093,-0.0621,-0.0565,0.0000,0.0000,0.0000
1346774148,0.0746,0.6838,-9.7278,-0.0152,-0.0674,0.0247,0.0000,0.0000,0.0000
1346784311,0.0826,0.6758,-9.7334,-0.0381,-0.0860,0.2149,0.0000,0.0000,0.0000
1346794145,0.0626,0.6630,-9.7373,-0.0147,-0.0981,0.2153,0.0000,0.0000,0.0000
1346804383,0.0578,0.6638,-9.7334,-0.0260,-0.0684,0.0721,0.0000,0.0000,0.0000
1346814151,0.0827,0.6750,-9.7326,-0.0666,-0.0073,0.0663,0.0000,0.0000,0.0000
1346824385,0.0883,0.6718,-9.7318,-0.0379,-0.0625,0.1314,0.0000,0.0000,0.0000
1346834319,0.0642,0.6726,-9.7325,-0.0262,-0.1695,0.0420,0.0000,0.0000,0.0000
1346844217,0.0577,0.6710,-9.7357,-0.0265,-0.1577,0.0544,0.0000,0.0000,0.0000
1346854148,0.0714,0.6638,-9.7349,-0.0034,-0.0630,0.1976,0.0000,0.0000,0.0000
1346864221,0.0770,0.6606,-9.7349,-0.0143,-0.0859,0.1497,0.0000,0.0000,0.0000
1346874328,0.0658,0.6758,-9.7325,-0.0267,-0.1567,-0.0050,0.0000,0.0000,0.0000
1346884393,0.0666,0.6838,-9.7326,-0.0041,-0.1573,-0.0508,0.0000,0.0000,0.0000
1346894329,0.0698,0.6758,-9.7381,-0.0556,-0.1340,0.0014,0.0000,0.0000,0.0000
1346904227,0.0642,0.6742,-9.7381,-0.0603,-0.0560,0.0606,0.0000,0.0000,0.0000
1346914220,0.0714,0.6710,-9.7302,-0.0089,-0.0368,0.1142,0.0000,0.0000,0.0000
1346924228,0.0746,0.6670,-9.7341,-0.0390,-0.0793,0.0959,0.0000,0.0000,0.0000
1346934330,0.0722,0.6734,-9.7262,-0.0332,-0.0982,0.0303,0.0000,0.0000,0.0000
1346944373,0.0714,0.6822,-9.7326,-0.0273,-0.1461,-0.0044,0.0000,0.0000,0.0000
1346954228,0.0730,0.6806,-9.7365,-0.0382,-0.1399,-0.0034,0.0000,0.0000,0.0000
1346964153,0.0666,0.6774,-9.7349,-0.0439,-0.0627,0.1091,0.0000,0.0000,0.0000
